Movie Title,Superhero?,Opening Gross Sales ($ millions),Total Gross Sales ($ millions),Number of Theaters,Weeks in Release
Captain America: Civil War,Yes,179.14,408.08,4226,20
Batman v Superman: Dawn of Justice,Yes,166.01,330.36,4256,12
Rogue One: A Star Wars Story,No,155.08,532.18,4157,20
Finding Dory,No,135.06,486.3,4305,25
Suicide Squad,Yes,133.68,325.1,4255,14
Deadpool,Yes,132.43,363.07,3856,18
The Secret Life of Pets,No,104.35,368.38,4381,25
The Jungle Book (2016),No,103.26,364,4144,24
Doctor Strange,Yes,85.06,232.64,3882,19
Zootopia,No,75.06,341.27,3959,22
Fantastic Beasts and Where To Find Them,No,74.4,234.04,4144,19
X-Men: Apocalypse,Yes,65.77,155.44,4153,9
Star Trek Beyond,No,59.25,158.85,3928,13
Jason Bourne,No,59.22,162.43,4039,21
Moana,No,56.63,248.76,3875,22